Id,IndustrySubDomainName,CreatedDate,CreatedBy,IsActive
1059,,23:59.9,ramkeshmeena@ord.gov.in,0
1060,,29:33.7,ramkeshmeena@ord.gov.in,0
1061,,32:04.6,sushant.kumar@bel.co.in,0
1062,,33:37.7,ramkeshmeena@ord.gov.in,0
1063,,37:28.7,ramkeshmeena@ord.gov.in,0
1064,,40:19.4,sushant.kumar@bel.co.in,0
1065,,46:43.4,sushant.kumar@bel.co.in,0
1066,,49:20.0,hsyadav1@ord.gov.in,0
1067,,51:14.2,sushant.kumar@bel.co.in,0
1068,,59:42.9,sushant.kumar@bel.co.in,0
1069,,30:47.5,hsyadav1@ord.gov.in,0
1070,,38:04.6,hsyadav1@ord.gov.in,0
1071,,38:55.5,sushant.kumar@bel.co.in,0
1072,,45:54.9,sushant.kumar@bel.co.in,0
1073,,53:49.8,sushant.kumar@bel.co.in,0
1074,,53:57.8,sushant.kumar@bel.co.in,0
1075,,59:46.2,sushant.kumar@bel.co.in,0
1076,,25:41.6,sushant.kumar@bel.co.in,0
1077,,31:33.1,sushant.kumar@bel.co.in,0
1078,,31:33.7,sushant.kumar@bel.co.in,0
1079,,36:51.8,sushant.kumar@bel.co.in,0
1080,,37:28.6,sushant.kumar@bel.co.in,0
1081,,37:48.0,sushant.kumar@bel.co.in,0
1082,,37:55.1,sushant.kumar@bel.co.in,0
1083,,42:15.3,sushant.kumar@bel.co.in,0
1084,,42:22.3,sushant.kumar@bel.co.in,0
1085,,46:41.2,sushant.kumar@bel.co.in,0
1086,,46:51.8,sushant.kumar@bel.co.in,0
1087,,49:01.5,hsyadav1@ord.gov.in,0
1088,,51:51.6,hsyadav1@ord.gov.in,0
1089,,54:20.2,sushant.kumar@bel.co.in,0
1090,,54:40.7,sushant.kumar@bel.co.in,0
1091,,58:59.0,hsyadav1@ord.gov.in,0
1092,,00:45.8,sushant.kumar@bel.co.in,0
1093,,01:02.5,sushant.kumar@bel.co.in,0
1094,,04:42.2,ankit_kumar@bel.co.in,0
1095,,11:10.8,sushant.kumar@bel.co.in,0
1096,,11:31.5,sushant.kumar@bel.co.in,0
1097,,21:53.8,hsyadav1@ord.gov.in,0
1098,,27:37.2,sushant.kumar@bel.co.in,0
1099,,27:43.9,sushant.kumar@bel.co.in,0
1100,,32:29.3,sushant.kumar@bel.co.in,0
1101,,32:36.3,sushant.kumar@bel.co.in,0
1102,,34:40.3,ankit_kumar@bel.co.in,0
1103,,39:24.3,hsyadav1@ord.gov.in,0
1104,,40:34.8,sushant.kumar@bel.co.in,0
1105,,40:50.5,sushant.kumar@bel.co.in,0
1106,,41:57.1,ankit_kumar@bel.co.in,0
1107,,47:15.9,hsyadav1@ord.gov.in,0
1108,,47:58.9,sushant.kumar@bel.co.in,0
1109,,48:10.4,sushant.kumar@bel.co.in,0
1110,,53:14.9,sushant.kumar@bel.co.in,0
1111,,54:46.4,hsyadav1@ord.gov.in,0
1112,,01:26.2,hsyadav1@ord.gov.in,0
1113,,05:32.1,sushant.kumar@bel.co.in,0
1114,,05:47.9,sushant.kumar@bel.co.in,0
1115,,06:03.9,ankit_kumar@bel.co.in,0
1116,,06:18.4,ankit_kumar@bel.co.in,0
1117,,10:49.7,sushant.kumar@bel.co.in,0
1118,,11:03.3,sushant.kumar@bel.co.in,0
1119,,18:58.2,sushant.kumar@bel.co.in,0
1120,,19:23.6,sushant.kumar@bel.co.in,0
1121,,19:33.5,hsyadav1@ord.gov.in,0
1122,,21:06.8,ankit_kumar@bel.co.in,0
1123,,21:19.8,ankit_kumar@bel.co.in,0
1124,,27:48.7,hsyadav1@ord.gov.in,0
1125,,30:20.9,sushant.kumar@bel.co.in,0
1126,,30:46.1,sushant.kumar@bel.co.in,0
1127,"Printer, Scanner",32:06.4,ramkeshmeena@ord.gov.in,1
1128,,33:15.5,ramkeshmeena@ord.gov.in,0
1129,Photo Copy Papers,38:00.0,ramkeshmeena@ord.gov.in,1
1130,,38:05.4,ramkeshmeena@ord.gov.in,0
1131,,39:17.2,hsyadav1@ord.gov.in,0
1132,,43:01.9,ramkeshmeena@ord.gov.in,0
1133,,56:09.9,ramkeshmeena@ord.gov.in,0
1134,,03:19.0,hsyadav1@ord.gov.in,0
1135,,03:47.7,hsyadav1@ord.gov.in,0
1136,,04:19.7,ramkeshmeena@ord.gov.in,0
1137,,08:09.9,hsyadav1@ord.gov.in,0
1138,,09:01.8,hsyadav1@ord.gov.in,0
1139,,10:40.2,ramkeshmeena@ord.gov.in,0
1140,,13:21.9,hsyadav1@ord.gov.in,0
1141,,21:11.9,ramkeshmeena@ord.gov.in,0
1142,,21:19.8,ramkeshmeena@ord.gov.in,0
1143,,25:11.7,ramkeshmeena@ord.gov.in,0
1144,,27:21.5,ramkeshmeena@ord.gov.in,0
1145,,30:26.4,ramkeshmeena@ord.gov.in,0
1146,,32:29.8,ramkeshmeena@ord.gov.in,0
1147,,38:41.4,ramkeshmeena@ord.gov.in,0
1148,,40:23.2,ramkeshmeena@ord.gov.in,0
1149,Furnace Manufacturer,47:44.9,ramkeshmeena@ord.gov.in,1
1150,,48:22.2,ramkeshmeena@ord.gov.in,0
1151,,31:36.7,sushant.kumar@bel.co.in,0
1152,,31:45.5,sushant.kumar@bel.co.in,0
1153,,36:04.7,sushant.kumar@bel.co.in,0
1154,,42:30.5,sushant.kumar@bel.co.in,0
1155,,50:42.8,sushant.kumar@bel.co.in,0
1156,,00:24.4,sushant.kumar@bel.co.in,0
1157,,16:55.1,hsyadav1@ord.gov.in,0
1158,,19:42.1,hsyadav1@ord.gov.in,0
1159,,33:08.2,hsyadav1@ord.gov.in,0
1160,,47:08.3,hsyadav1@ord.gov.in,0
1161,,48:23.4,hsyadav1@ord.gov.in,0
1162,,51:32.5,hsyadav1@ord.gov.in,0
1163,,54:36.3,hsyadav1@ord.gov.in,0
1164,,55:33.2,hsyadav1@ord.gov.in,0
1165,,55:45.7,hsyadav1@ord.gov.in,0
1166,,02:55.6,hsyadav1@ord.gov.in,0
1167,,04:55.8,hsyadav1@ord.gov.in,0
1168,,12:13.4,hsyadav1@ord.gov.in,0
1169,,13:28.3,hsyadav1@ord.gov.in,0
1170,,16:15.6,hsyadav1@ord.gov.in,0
1171,,20:21.1,hsyadav1@ord.gov.in,0
1172,,29:53.9,hsyadav1@ord.gov.in,0
1173,,31:27.9,hsyadav1@ord.gov.in,0
1174,,37:25.1,hsyadav1@ord.gov.in,0
1175,,42:11.5,hsyadav1@ord.gov.in,0
1176,,45:42.1,hsyadav1@ord.gov.in,0
1177,,02:34.7,hsyadav1@ord.gov.in,0
1178,,22:22.2,hsyadav1@ord.gov.in,0
1179,,25:32.4,hsyadav1@ord.gov.in,0
1180,,38:16.4,hsyadav1@ord.gov.in,0
1181,,57:56.8,hsyadav1@ord.gov.in,0
1182,,04:51.0,hsyadav1@ord.gov.in,0
1183,,06:24.8,hsyadav1@ord.gov.in,0
1184,,10:05.5,hsyadav1@ord.gov.in,0
1185,,19:45.7,hsyadav1@ord.gov.in,0
1186,,25:17.4,hsyadav1@ord.gov.in,0
1187,,28:32.1,hsyadav1@ord.gov.in,0
1188,,29:34.2,hsyadav1@ord.gov.in,0
1189,,35:03.4,hsyadav1@ord.gov.in,0
1190,,54:04.1,hsyadav1@ord.gov.in,0
1191,,23:06.0,hsyadav1@ord.gov.in,0
1192,,22:07.8,hsyadav1@ord.gov.in,0
1193,,36:59.3,hsyadav1@ord.gov.in,0
1194,,45:03.9,hsyadav1@ord.gov.in,0
1195,,12:48.3,hsyadav1@ord.gov.in,0
1196,,15:20.0,hsyadav1@ord.gov.in,0
1197,,21:45.9,hsyadav1@ord.gov.in,0
1198,"SHIP DESIGN,CONSTRUCTION,REPAIR,BRIDGE ENGINEERING,MARINE EQUIPMENT",50:00.9,m.mahendran@grse.co.in,1
1199,,56:46.7,m.mahendran@grse.co.in,0
1200,,58:25.8,m.mahendran@grse.co.in,0
1201,,01:55.1,m.mahendran@grse.co.in,0
1202,,07:10.5,m.mahendran@grse.co.in,0
1203,,07:45.0,hsyadav1@ord.gov.in,0
1204,,43:04.9,sushant.kumar@bel.co.in,0
1205,,58:18.3,sushant.kumar@bel.co.in,0
1206,,02:23.1,sushant.kumar@bel.co.in,0
1207,,05:16.0,sushant.kumar@bel.co.in,0
1208,,13:05.4,sushant.kumar@bel.co.in,0
1209,,17:16.7,sushant.kumar@bel.co.in,0
1210,,21:14.7,sushant.kumar@bel.co.in,0
1211,,24:59.8,sushant.kumar@bel.co.in,0
1212,,31:38.4,sushant.kumar@bel.co.in,0
1213,,44:43.4,sushant.kumar@bel.co.in,0
1214,,49:41.9,sushant.kumar@bel.co.in,0
1215,,58:57.3,sushant.kumar@bel.co.in,0
1216,,03:36.4,sushant.kumar@bel.co.in,0
1217,,07:37.5,sushant.kumar@bel.co.in,0
1218,,11:21.0,sushant.kumar@bel.co.in,0
